,simulation,area_per_lipid,std
0,dopc_1bar,67.64197636782882,0.8724738765480887
1,dopc_250bar,66.8303341218821,0.918029909982757
2,dopc_500bar,65.8289880931388,0.8722663953781796
3,dopc_750bar,65.37432365939436,0.7676046416647279
4,dopc_1000bar,64.61410617153511,0.7176893085512442
5,dopc_1500bar,63.072786782759586,0.7113381140891968
6,dope_1bar,60.734636208373374,0.7763044447456278
7,dope_250bar,59.95845165618184,0.7648021539024252
8,dope_500bar,58.26828477774712,0.7575540485533926
9,dope_750bar,57.74940384582069,0.8392810333205752
10,dope_1000bar,57.11926948092245,0.767142310330214
11,dope_1500bar,51.23212007094453,1.7102299278791087
12,pufa_ester_1bar,61.49189257477057,0.8463505165011403
13,pufa_ester_250bar,60.6073150027434,0.8034520071357979
14,pufa_ester_500bar,59.27816781992388,0.8212131510820111
15,pufa_ester_750bar,58.615555883241306,0.838958279482168
16,pufa_ester_1000bar,57.68167337371358,0.8612027559577263
17,pufa_ester_1500bar,56.32807989868576,0.7123281180244535
18,pufa_plas_1bar,62.81401057073714,0.8389013666952501
19,pufa_plas_250bar,62.14872700801876,0.8137217163337054
20,pufa_plas_500bar,61.25086633716821,0.7562153764480802
21,pufa_plas_750bar,60.59046279952821,0.8114171283911021
22,pufa_plas_1000bar,59.5596956634856,0.8275426863921315
23,pufa_plas_1500bar,58.42293147051514,0.8570436873982072
24,sope_1bar,61.3486478627979,0.9234542267872184
25,sope_500bar,58.033078044552866,0.9102269718385175
26,sope_1000bar,55.105942046882106,1.0025258786950808
27,sope_o_1bar,62.84057311093809,0.8056078096827389
28,sope_o_500bar,60.09549329349482,0.9147199646213893
29,sope_o_1000bar,57.59185367345008,0.8565431007607688
